"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
2003,1,"Coastwide",21414.1779481366,0.404277168437323,7999.43321367163
2004,1,"Coastwide",15615.8316890288,0.476737146136835,6851.53179749697
2005,1,"Coastwide",28766.7090724011,0.360454612370122,9663.97542660487
2006,1,"Coastwide",11758.5794190535,0.420183251345327,4546.29252148335
2007,1,"Coastwide",20075.3069370785,0.364872223881246,6767.87275095324
2008,1,"Coastwide",15379.412740068,0.414772434092972,5895.55332688866
2009,1,"Coastwide",9939.85968779433,0.396471609692296,3648.09729467943
2010,1,"Coastwide",29371.6751854978,0.361754450733291,9857.45038328781
2011,1,"Coastwide",23241.5830337409,0.352012306341838,7591.14890880091
2012,1,"Coastwide",21824.6183815091,0.387529004574217,7870.94296519239
2013,1,"Coastwide",15938.1704278314,0.509226960654708,7420.37062988838
2014,1,"Coastwide",45904.3031640603,0.338385461607153,14466.2623746405
2015,1,"Coastwide",30202.0435781509,0.326201119275331,9164.29959451597
2016,1,"Coastwide",62864.1442546971,0.302864004558054,17810.3808561992
2003,1,"OR",2656.00021458498,0.47887201690487,1095.27388892813
2004,1,"OR",1423.50987292502,0.579817584354619,698.232104345069
2005,1,"OR",3377.09936838615,0.425660072005635,1249.98236329249
2006,1,"OR",1467.475267345,0.475744122353475,601.218546974253
2007,1,"OR",2830.65357144029,0.416740020447394,1023.71692065241
2008,1,"OR",1480.03512794349,0.502060075870155,634.966421861348
2009,1,"OR",1286.55591241515,0.452175621808863,504.037045213646
2010,1,"OR",2857.72395685262,0.45309051895315,1113.4615829033
2011,1,"OR",2944.54328734941,0.420338399705402,1079.25780673181
2012,1,"OR",2476.72968571716,0.451273591570141,967.863233912267
2013,1,"OR",1842.7732606644,0.563877169263429,887.056869219688
2014,1,"OR",6485.96084263802,0.399679076345737,2272.95295535661
2015,1,"OR",4721.50723178328,0.378969399769851,1575.30336631476
2016,1,"OR",12245.8885525455,0.333861756049065,3663.35932786982
2003,1,"WA",18758.1777335517,0.407508676186781,7131.32308243645
2004,1,"WA",14192.3218161037,0.477246463716041,6284.13839483774
2005,1,"WA",25389.609704015,0.36432825026742,8697.95274999816
2006,1,"WA",10291.1041517085,0.425241427505691,4063.62480687926
2007,1,"WA",17244.6533656382,0.37253581965217,5994.89197833686
2008,1,"WA",13899.3776121245,0.416762478128747,5396.75103332205
2009,1,"WA",8653.30377537918,0.401985756189096,3250.74446153141
2010,1,"WA",26513.9512286452,0.363848390225587,9020.35746030521
2011,1,"WA",20297.0397463915,0.355810575785071,6759.48199028411
2012,1,"WA",19347.888695792,0.391175920210841,7106.04444982802
2013,1,"WA",14095.397167167,0.513404281101503,6673.58582211855
2014,1,"WA",39418.3423214223,0.343269080416529,12722.8887691404
2015,1,"WA",25480.5363463677,0.332535488258955,7959.97099002306
2016,1,"WA",50618.2557021516,0.31276127298959,14960.5744499082
2003,1,"Shallow",16135.8011408114,0.39795605786482,5994.52116090511
2004,1,"Shallow",11725.8859735899,0.46921441112501,5116.46355981061
2005,1,"Shallow",21458.4990302531,0.354029016489123,7160.30254780508
2006,1,"Shallow",9001.12090248462,0.412887145630354,3458.60395314079
2007,1,"Shallow",15283.232720511,0.356257515976655,5086.90475121305
2008,1,"Shallow",11390.9097408047,0.408450190368317,4340.63064092581
2009,1,"Shallow",7575.82224877785,0.388894811468753,2759.19391289129
2010,1,"Shallow",21641.0083653816,0.355154033416928,7202.33199033065
2011,1,"Shallow",17368.5859616024,0.34689604340308,5648.89726899937
2012,1,"Shallow",16262.6586045529,0.380885938293002,5825.12239819517
2013,1,"Shallow",12130.7275968137,0.503214626035447,5640.87222506511
2014,1,"Shallow",33847.9651599652,0.331923233514649,10588.270098747
2015,1,"Shallow",22049.3751315703,0.31895549427065,6628.72784585182
2016,1,"Shallow",46601.416086355,0.292712983429493,12934.630129973
