Year,CommercialTrawl,HakeByCatch,RecORandCA,RecWA
1889,0.13,0,0,0
1890,0.14,0,0,0
1891,0.25,0,0,0
1892,2.37107,0,0,0
1893,2.08107,0,0,0
1894,2.08107,0,0,0
1895,0.565136,0,0,0
1896,0.128825,0,0,0
1897,0.131309,0,0,0
1898,0.0743214,0,0,0
1899,0.125707,0,0,0
1900,0.177092,0,0,0
1901,0.228468,0,0,0
1902,0.279853,0,0,0
1903,0.331238,0,0,0
1904,0.662623,0,0,0
1905,0.433999,0,0,0
1906,0.485384,0,0,0
1907,0.53677,0,0,0
1908,0.738146,0,0,0
1909,0.639531,0,0,0
1910,0.690916,0,0,0
1911,0.742301,0,0,0
1912,0.793677,0,0,0
1913,0.845062,0,0,0
1914,0.896447,0,0,0
1915,1.04783,0,0,0
1916,3.49011,0,0,0
1917,5.9166,0,0,0
1918,14.9595,0,0,0
1919,4.69462,0,0,0
1920,5.47831,0,0,0
1921,7.1922,0,0,0
1922,5.58167,0,0,0
1923,3.13897,0,0,0
1924,6.01896,0,0,0
1925,14.1646,0,0,0
1926,15.0387,0,0,0
1927,25.8325,0,0,0
1928,23.6095,0,0.13,0
1929,31.2771,0,0.26,0
1930,44.5086,0,0.3,0
1931,51.8251,0,0.4,0
1932,34.422,0,0.5,0
1933,31.8183,0,0.6,0
1934,30.5753,0,0.69,0
1935,49.1659,0,0.79,0
1936,49.3213,0,0.89,0
1937,54.513,0,1.06,0
1938,66.1173,0,1.04,0
1939,76.2847,0,0.91,0
1940,149.448,0,1.31,0
1941,200.358,0,1.21,0
1942,323.924,0,0.64,0
1943,1338.8,0,0.62,0
1944,2374.28,0,0.51,0
1945,4438.18,0,0.67,0
1946,2666.85,0,1.16,0
1947,1351.19,0,0.92,0
1948,1222.36,0,1.84,0
1949,611.332,0,2.38,0
1950,1191.6,0,2.9,0
1951,1242.68,0,3.33,0
1952,1593.94,0,2.91,0
1953,883.619,0,2.48,0
1954,1151.7,0,3.1,0
1955,1152.67,0,3.72,0
1956,1339.53,0,4.16,0
1957,1372.88,0,3.56,0
1958,1424.56,0,6.12,0
1959,1470.12,0,5.57,0
1960,1785.55,0,4.14,0
1961,1678.25,0,3.11,0
1962,2248.65,0,3.64,0
1963,1844.92,0,2.53,0
1964,1532.23,0,1.94,0
1965,1430.03,0,3.2,0
1966,1099.01,0,3.49,0
1967,1348.27,0,3.51,38
1968,1925.58,0,3.94,0
1969,3214.31,0,4.77,0
1970,1461.69,0,5.49,0
1971,1527.22,0,4.33,0
1972,2293.8,0,5.76,0
1973,2737.72,0,7.37,0
1974,1964.06,0,8.02,0
1975,1402.01,0,7.96,12
1976,3921.9,29.49,9.39,16
1977,5913.88,7.44,8.3,8
1978,8248.32,75.45,7.54,13
1979,7270.42,82.02,25.16,4
1980,7022.47,255.35,24.03,3
1981,9045.71,152.57,69.13,4
1982,9283.52,551.2,69.51,2
1983,9714.85,548.33,123.26,3
1984,4896.43,312.01,37.4,3
1985,3231.21,174.16,190.48,5
1986,4599.79,560.14,29.14,9
1987,4623.25,541.4,23.88,16
1988,6062.34,423.42,17.81,16
1989,4764.72,184.63,41.68,16
1990,4367.37,295.11,37.7,14
1991,3690.01,478.09,52.43,30
1992,5669.32,694.75,200.81,32
1993,5366.2,273.36,177.91,42
1994,5239.45,560.41,80.73,18
1995,4713.17,646.75,65.19,15
1996,5209.46,746.21,60.24,20
1997,1836.28,396.32,76.6,20
1998,2490.16,438.09,70.61,30
1999,2240.97,1198.56,45.35,11
2000,2905.63,635.3,27.36,13
2001,1898.94,213.37,26.11,9
2002,1024.69,189.92,27.28,4
2003,413.739,36.6,20.08,11
2004,568.282,47.56,18.77,22
2005,752.053,112.18,26.87,20
2006,357.589,108.71,23.36,14
2007,276.397,78.71,17.78,15
2008,275.982,174.99,23.86,18
2009,538.738,176.16,16.85,28
2010,753.629,150.09,11.57,38
2011,1181.32,101.17,18.43,43
2012,1508.61,43,20.06,19
2013,1117.14,269.04,20.17,24
2014,1366.5,41.96,15.85,33
2015,1840.85,86.39,29.13,56
2016,1308.44,62.32,13.97,60
