Year,PacFIN,Tows,Hake Bycatch,Tows,Triennial,Tows,NWFSCcombo,Tows,WA\_Sport,OR-CA
1972,994,14,,,,,,,,
1973,341,5,,,,,,,,
1974,384,4,,,,,,,,
1975,405,4,,,,,,,,
1976,1771,19,120,14,,,,,,
1977,1620,17,0,0,1919,21,,,,
1978,972,11,276,14,,,,,,
1979,2548,26,5,2,,,,,59,
1980,4520,46,3104,88,1171,24,,,247,384
1981,4729,48,0,0,,,,,201,160
1982,5010,51,177,9,,,,,92,105
1983,2644,28,0,0,3506,58,,,46,93
1984,4383,45,0,0,,,,,1,376
1985,5685,57,43,3,,,,,3,254
1986,4365,45,0,0,3076,42,,,364,164
1987,4083,79,0,0,,,,,343,129
1988,3315,67,0,0,,,,,279,138
1989,3696,75,13,4,1774,57,,,296,161
1990,3663,74,0,0,,,,,239,
1991,3132,76,0,0,,,,,310,
1992,4170,104,3651,201,2355,72,,,527,
1993,3779,89,2435,176,,,,,550,404
1994,4384,104,5020,374,,,,,678,639
1995,4203,100,2568,179,1090,67,,,1074,567
1996,3836,89,4127,297,,,,,952,307
1997,5506,139,5199,388,,,,,648,304
1998,5009,123,2898,417,4287,130,,,520,611
1999,5561,138,5530,557,,,,,572,372
2000,5107,130,3835,443,,,,,671,247
2001,4743,126,1571,322,1159,58,,,721,97
2002,3154,76,832,148,,,,,1313,186
2003,2204,58,2133,327,,,167,3,2298,31
2004,3029,73,2858,481,1668,54,92,2,1996,1
2005,2001,56,5093,536,,,209,5,2498,3
2006,1954,52,5799,533,,,117,5,1544,7
2007,1869,62,5551,717,,,189,4,1420,3
2008,1650,62,4731,620,,,209,3,789,11
2009,1578,67,3570,404,,,144,5,1342,11
2010,1960,70,5708,645,,,250,4,1043,7
2011,1816,87,4807,620,,,279,4,1463,16
2012,2584,105,1482,234,,,215,5,1282,125
2013,1846,113,1840,204,,,117,4,1010,114
2014,2534,177,1314,137,,,373,6,1724,57
2015,3050,159,1646,129,,,336,5,1448,53
2016,2836,139,4213,481,,,293,5,2006,24
