Label,Drop_Small_Bio,Longer_Timeseries,NoHL,NoJuv,NoMRFSS,NoOnboard,North_Ms,South_Base,Split_Rec_Indices
TOTAL_like,644.635,679.183,628.603,645.211,628.603,638.248,641.986,679.183,646.952
Survey_like,15.5488,17.0516,11.8881,14.0597,11.8881,3.11587,19.2813,17.0517,2.86062
Length_comp_like,199.84,237.117,200.894,200.765,200.894,211.094,229.834,237.116,223.38
Age_comp_like,420.209,415.79,409.517,420.213,409.517,414.314,384.518,415.79,411.623
Parm_priors_like,4.22E-06,4.22E-06,4.22E-06,4.22E-06,4.22E-06,4.22E-06,1.03E-06,4.22E-06,4.22E-06
Recr_Virgin_millions,157.351,37.3026,211.218,91.8401,211.218,37.0361,11.5536,37.3013,66.8859
SR_LN(R0),11.9662,10.5268,12.2606,11.4278,12.2606,10.5196,9.35476,10.5268,11.1107
NatM_p_1_Fem_GP_1,0.18,0.18,0.18,0.18,0.18,0.18,0.149,0.18,0.18
NatM_p_1_Mal_GP_1,-0.2876,-0.2876,-0.2876,-0.2876,-0.2876,-0.2876,-0.142,-0.2876,-0.2876
VonBert_K_Fem_GP_1,0.118929,0.112109,0.113333,0.119002,0.113333,0.112454,0.110684,0.112109,0.111172
VonBert_K_Mal_GP_1,0.301366,0.141533,0.155363,0.282173,0.155363,0.149082,0.191576,0.141532,0.145657
SPB_Virgin_thousand_mt,0.024,0.006,0.034,0.014,0.034,0.006,0.003,0.006,0.01
SPB_2017_thousand_mt,0.024,0.006,0.035,0.015,0.035,0.006,0.002,0.006,0.011
Bratio_2017,1.01099,0.980073,1.03591,1.05048,1.03591,1.0169,0.779488,0.98007,1.04001
SPRratio_2016,0.00154755,0.0059554,0.00117398,0.00242994,0.00117398,0.00586718,0.019233,0.00595563,0.00346318
TotYield_MSY_thousand_mt,14.523,3.649,21.151,8.511,21.151,3.609,1.302,3.649,6.472
