Year,Commercial,Tows,Hook-and-Line,Tows,Small Fish,RecFIN,Onboard
1978,152,30,,,112,,
1979,126,17,,,194,,
1980,86,35,,,112,1000,
1981,262,35,,,90,723,
1982,198,61,,,186,1529,
1983,298,77,,,141,1116,
1984,246,64,,,74,1729,
1985,885,80,,,,3280,
1986,608,68,,,,2049,
1987,184,33,,,,920,1230
1988,284,36,,,,632,4129
1989,671,86,,,,1517,7869
1990,400,55,,,,,2451
1991,705,43,,,,,3506
1992,2602,134,,,,,7210
1993,1802,133,,,,999,5952
1994,2310,132,,,,632,5166
1995,783,52,,,,895,8949
1996,829,79,,,,2047,6113
1997,866,61,,,,9213,10433
1998,726,51,,,,5315,5127
1999,308,34,,,,3802,
2000,162,12,,,,861,
2001,149,25,,,,402,
2002,4,4,,,,764,
2003,34,3,,,,,242
2004,,,13,126,,639,584
2005,41,3,14,122,,466,1042
2006,83,2,6,88,,1212,1633
2007,90,17,18,119,,3063,1381
2008,78,11,15,139,,1353,314
2009,67,8,15,80,,2570,232
2010,,7,12,60,,1618,566
2011,,,13,126,,3479,712
2012,33,6,11,106,,5472,438
2013,16,13,13,96,,6527,941
2014,26,16,17,110,,6137,545
2015,46,20,13,78,,6824,494
2016,,,14,89,,2688,451
