Year,Age 4 Summary Biomass (mt) Mid,Spawning Biomass (mt),Age 4 Summary Biomass (mt) Mid,Spawning Biomass (mt),Age 4 Summary Biomass (mt) Low,Age 4 Summary Biomass (mt) High,Age 4 Summary Biomass (mt) Low,Age 4 Summary Biomass (mt) High,Age 4 Summary Biomass (mt) Low,Age 4 Summary Biomass (mt) High,Age 4 Summary Biomass (mt) Low,Age 4 Summary Biomass (mt) High
-999,2005,2005,2000,2000,1997,1997,1996,1996,1993,1993,1991,1991
1967,105305,28418,137590,37480,127092,129150,133024,134884,129505,153557,135754,177455
1968,105541,27512,135210,37078,124432,126635,127484,129414,123814,147221,132276,173256
1969,103931,26643,130160,36229,120257,122571,122567,124249,120144,142111,124650,166374
1970,102199,25882,124600,35264,115748,118161,117397,119118,114725,135964,118185,159426
1971,102147,25618,121730,35007,113861,116412,113513,115065,111370,131199,116013,156297
1972,104457,25739,121610,34702,114843,117486,116516,118127,113918,133480,119458,160466
1973,106041,25762,122300,33817,114224,116908,114251,115760,111763,130539,118674,159232
1974,106243,25966,118510,32245,111606,114290,112823,114342,109687,128298,114260,154492
1975,105872,26438,115060,31144,109320,112022,108119,109587,104710,122176,111436,151185
1976,105399,26897,111690,30151,107304,110003,106330,107746,102956,120140,106259,145346
1977,102587,26383,107140,28805,104597,107357,102140,103653,97974,114740,101959,141170
1978,106004,25578,109730,27584,106995,109968,104302,106005,99394,118372,101713,142365
1979,104533,23301,108520,25119,104331,107488,100440,102467,95903,116554,100868,144007
1980,101280,20683,102430,22164,101699,105635,95881,98169,92166,114974,93701,138458
1981,102419,18469,106020,19550,101230,105477,93654,96399,90631,116293,90678,137793
1982,99819,16605,102670,17645,98362,103018,89825,92875,88582,117277,84261,132585
1983,94528,15440,96481,17006,92440,97420,82388,85713,81322,111160,74383,123083
1984,90452,15243,91979,17252,87101,92515,75019,78581,75779,108198,68969,120152
1985,92702,16491,94567,18960,87706,93499,73871,77983,75674,110749,65613,119639
1986,93057,18314,92620,20946,86640,92822,70261,74571,73331,109883,64189,120756
1987,96451,19531,96346,22153,88848,96468,66703,71391,73067,111949,62352,119507
1988,97301,20494,100540,22616,87373,97226,63479,69408,76008,119019,60673,118241
1989,95525,18836,100680,20557,84620,96375,57618,64218,69130,111346,58781,116303
1990,94476,18334,98386,20149,80934,94013,51632,59063,62893,104943,58376,115556
1991,100691,18323,103840,20120,83218,99056,47230,55839,61478,102147,,
1992,94183,18037,97943,19989,76507,93609,41799,51098,59922,100003,,
1993,90489,16988,94860,19404,69331,88064,32984,43063,56194,95755,,
1994,92822,16337,97720,19051,63572,83339,27818,38106,,,,
1995,92272,16181,94227,19506,60186,81053,23307,33651,,,,
1996,88302,15536,88013,19107,57141,77950,19741,30079,,,,
1997,83276,15916,80799,19431,53675,74605,,,,,,
1998,77496,15968,72672,19285,,,,,,,,
1999,72569,17174,71341,20298,,,,,,,,
2000,73027,18028,69364,20528,,,,,,,,
2001,71371,18539,,,,,,,,,,
2002,61969,18750,,,,,,,,,,
2003,58025,16377,,,,,,,,,,
2004,72152,17396,,,,,,,,,,
