"Label","Add_Combo","Base_Model","M_64","M_Prior","MItune","NoComm","NoHL","NoMRFSS","NoOnboard","North_Ms","NoSmall","Split_Rec_Indices"
"TOTAL_like",636.649,774.696,721.659,673.56,1195,201.209,671.865,717.025,743.038,723.473,573.5,646.952
"Survey_like",18.1279,5.31306,24.5281,8.21872,28.1589,15.1967,-4.18072,-2.00607,0.480757,15.2263,7.4073,2.86062
"Length_comp_like",231.671,260.288,261.427,227.045,461.549,150.449,182.025,223.584,233.216,255.704,205.335,223.38
"Age_comp_like",373.828,499.874,427.214,417.412,687.69,27.8081,483.657,489.452,500.499,442.22,353.698,411.623
"Parm_priors_like",4.21966e-06,4.21966e-06,0,1.74743e-07,4.21966e-06,4.21966e-06,4.21966e-06,4.21966e-06,4.21966e-06,1.02867e-06,4.21966e-06,4.21966e-06
"Recr_Virgin_millions",5.28003,483155,2.21271,484894,59.4304,484894,73.3995,484753,435922,11.3544,101.341,66.8859
"SR_LN(R0)",8.57169,19.9958,7.70197,19.9994,10.9926,19.9994,11.2037,19.9991,19.893,9.33736,11.5262,11.1107
"SR_BH_steep",0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718
"NatM_p_1_Fem_GP_1",0.18,0.18,0.0843678,0.207048,0.18,0.18,0.18,0.18,0.18,0.149,0.18,0.18
"NatM_p_1_Mal_GP_1",-0.2876,-0.2876,0,0.0585261,-0.2876,-0.2876,-0.2876,-0.2876,-0.2876,-0.142,-0.2876,-0.2876
"L_at_Amax_Fem_GP_1",49.4455,48.5553,49.1827,48.8689,48.8481,48.3528,49.6547,49.5552,48.5477,49.3854,49.273,49.5593
"L_at_Amax_Mal_GP_1",-0.102149,-0.228715,-0.0977094,-0.0976711,-0.212965,-0.12485,-0.110634,-0.109567,-0.233711,-0.102084,-0.2026,-0.125657
"VonBert_K_Fem_GP_1",0.109364,0.122988,0.126459,0.141419,0.124523,0.109078,0.109002,0.118348,0.121415,0.131165,0.113647,0.111172
"VonBert_K_Mal_GP_1",0.0397473,0.231769,0.190006,0.194482,0.24457,-0.50164,0.101044,0.0579114,0.246902,0.157431,0.30882,0.145657
"SPB_Virgin_thousand_mt",0.001,70.424,0.003,47.539,0.009,67.982,0.012,79.788,62.667,0.003,0.015,0.01
"Bratio_2017",0.548275,0.933447,0.333317,0.860666,1.17395,1.12063,0.939476,0.888119,0.906256,0.838003,0.922576,1.04001
"SPRratio_2016",0.0735968,6.65934e-07,0.125882,1.02411e-06,0.00314631,5.43866e-07,0.00348499,7.0534e-07,8.12801e-07,0.0211909,0.00300234,0.00346318
